,algo,ratio,fcp,mae
0,<surprise.prediction_algorithms.matrix_factorization.SVD object at 0x133b62b90>,1,0.685010473802465,0.29910479910714294
1,<surprise.prediction_algorithms.matrix_factorization.SVDpp object at 0x12b6e1f10>,1,0.6938316680367183,0.2877120264005983
2,<surprise.prediction_algorithms.co_clustering.CoClustering object at 0x130d476d0>,1,0.6625933698559493,0.2544878392167248
3,<surprise.prediction_algorithms.slope_one.SlopeOne object at 0x12b6e1fd0>,1,0.6715664146605371,0.320342590326549
4,<surprise.prediction_algorithms.knns.KNNBasic object at 0x12b476250>,1,0.6962815387774991,0.36603089109554837
5,<surprise.prediction_algorithms.knns.KNNWithZScore object at 0x127da8790>,1,0.6873046309384391,0.29572918365706696
6,<surprise.prediction_algorithms.matrix_factorization.SVD object at 0x133b62cd0>,3,0.7365133173831179,0.23616914968929853
7,<surprise.prediction_algorithms.matrix_factorization.SVDpp object at 0x1322e81d0>,3,0.7534807218263838,0.22934994205048387
8,<surprise.prediction_algorithms.co_clustering.CoClustering object at 0x108d3dbd0>,3,0.7389325904866759,0.2084970343595464
9,<surprise.prediction_algorithms.slope_one.SlopeOne object at 0x1279ef750>,3,0.7424509330289872,0.22696853520064775
10,<surprise.prediction_algorithms.knns.KNNBasic object at 0x12ade79d0>,3,0.7717173710442414,0.290055896938665
11,<surprise.prediction_algorithms.knns.KNNWithZScore object at 0x133b62d90>,3,0.760565831539699,0.20979224626725454
12,<surprise.prediction_algorithms.matrix_factorization.SVD object at 0x133616410>,10,0.755097219530606,0.1321309619911766
13,<surprise.prediction_algorithms.matrix_factorization.SVDpp object at 0x12b6e1d90>,10,0.7857083864388695,0.1269602370656713
14,<surprise.prediction_algorithms.co_clustering.CoClustering object at 0x12b6e1e90>,10,0.7868955179595933,0.11333829391748863
15,<surprise.prediction_algorithms.slope_one.SlopeOne object at 0x1330ceb90>,10,0.7904961957598788,0.1273472263951233
16,<surprise.prediction_algorithms.knns.KNNBasic object at 0x133616390>,10,0.759992104102761,0.12739423452148135
17,<surprise.prediction_algorithms.knns.KNNWithZScore object at 0x133b62910>,10,0.7758725202140949,0.11903522000141503
